from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
t5-base,,modeling_rmt:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,1,4,linear,499,2,512,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters5000_regular/run_1,False,,False,,5000.0,17.624521255493164
t5-base,,modeling_rmt:RMTEncoderDecoderHorizontalMemory,encoder-decoder,1e-05,2,4,linear,499,2,261,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters10000_regular_ilm_mem_layers_shared/run_3,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderHorizontalMemory,encoder-decoder,1e-05,2,4,linear,499,2,261,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters10000_regular_ilm_mem_layers_shared/run_2,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderHorizontalMemory,encoder-decoder,1e-05,2,4,linear,499,2,261,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters10000_regular_ilm_mem_layers_shared/run_1,False,all,True,,10000.0,100.0
t5-base,,modeling_rmt:RMTEncoderDecoderHorizontalMemory,encoder-decoder,1e-05,1,4,linear,499,2,512,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem10_bs32_iters5000_regular_ilm_mem_layers_shared/run_1,False,all,True,,4550.0,99.712646484375
t5-base,,modeling_rmt:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,1e-05,2,4,linear,499,3,512,10.0,regular,../runs/framework/babilong/t5-base/lr1e-05_linear_adamw_wd1e-03_499-512-{3}seg_mem10_bs32_iters5000_regular/run_2,False,,False,,0.0,0.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,4,linear,499,9,69,10.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{9}seg_mem10_bs32_iters3000_regular_sum_loss/run_3,True,,False,,3000.0,19.109195709228516
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,4,linear,499,9,69,10.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{9}seg_mem10_bs32_iters3000_regular_sum_loss/run_2,True,,False,,3000.0,17.95977020263672
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,4,linear,499,9,69,10.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{9}seg_mem10_bs32_iters3000_regular_sum_loss/run_1,True,,False,,3000.0,19.204980850219727
bert-base-cased,,modeling_rmt:RMTEncoderHorizontalMemory,encoder,1e-05,4,4,linear,499,4,129,1.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem1_bs32_iters3000_regular_ilm/run_3,False,,False,,3000.0,18.390804290771484
