from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,499,1,512,10,regular,../runs/curriculum_task/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_iters3000_regular/run_2,False,,False,,3000.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,499,1,512,10,regular,../runs/curriculum_task/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_iters3000_regular/run_2,False,,False,,360.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,2,linear,499,1,512,10,regular,../runs/curriculum_task/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs32_iters3000_regular/run_2,False,,False,,360.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,2,linear,5988,12,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_5988-512-{12}seg_mem10_bs128_iters3000_regular_2-12seg_eval/run_1,False,,False,,,22.627037048339844
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,32,2,linear,4491,9,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4491-512-{9}seg_mem10_bs128_iters3000_regular_1-9seg_eval/run_1,False,,False,,,16.15532112121582
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,64,2,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs128_iters3000_regular_4-1seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt.experimental:RMTEncoderCPUOffload,encoder,1e-05,128,1,linear,510976,1024,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_510976-512-{1024}seg_mem10_bs128_iters3000_regular_7-1024seg_eval/run_1,False,,False,,,97.74688720703125
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,32,2,linear,3992,8,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_3992-512-{8}seg_mem10_bs128_iters3000_regular_3-8seg_eval/run_1,False,,False,,,95.20613861083984
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,64,2,linear,499,1,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{1}seg_mem10_bs128_iters3000_regular_1-1seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,64,2,linear,998,2,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs128_iters3000_regular_5-2seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,64,2,linear,998,2,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_998-512-{2}seg_mem10_bs128_iters3000_regular_6-2seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,64,2,linear,2495,5,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_2495-512-{5}seg_mem10_bs128_iters3000_regular_5-5seg_eval/run_1,False,,False,,,99.95206451416016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,32,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_iters3000_regular_7-10seg_eval/run_1,False,,False,,,99.95206451416016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,32,2,linear,3493,7,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_3493-512-{7}seg_mem10_bs128_iters3000_regular_2-7seg_eval/run_1,False,,False,,,52.301055908203125
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,32,2,linear,4990,10,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_4990-512-{10}seg_mem10_bs128_iters3000_regular_6-10seg_eval/run_1,False,,False,,,99.95206451416016
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,64,2,linear,1497,3,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1497-512-{3}seg_mem10_bs128_iters3000_regular_3-3seg_eval/run_1,False,,False,,,100.0
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,1,linear,127744,256,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_127744-512-{256}seg_mem10_bs128_iters3000_regular_7-256seg_eval/run_1,False,,False,,,98.84947204589844
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,32,2,linear,3493,7,512,10,regular,../runs/curriculum_task/babilong_random/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_3493-512-{7}seg_mem10_bs128_iters3000_regular_1-7seg_eval/run_1,False,,False,,,16.77852439880371
